ProbeModel:"FP-2X-250-ZS30M-15",ProbeSerial:"FP101244",ProbeCalDate:"7-19-2021",ProbeOrientation:"MULTIAXIS",ProbeType:"2Dex",AveragingOn:True,AveragingNum:5,MeasureTime:20,DwellOn:True,DwellTime:500,StopForMeas:True,PointsX:51,PointsY:51,PointsZ:26,PointsMeasured:3618,
Num,Date,Time,Xset,Yset,Zset,Xpos,Ypos,Zpos,Bm,BmSD,Bx,BxSD,By,BySD,Bz,BzSD,Temp C,IndexX,IndexY,IndexZ,
81,2024-10-04,03:00:04.669,21,1,0,20.9999,1,0,48.9573952259052,0.000188795064155682,-2.51626821231842,0.000188049649266438,-0.574087845801801,0.000306949371112622,48.8893035278319,0.000679312435376299,21.7008304595947,29,1,0,
82,2024-10-04,03:00:08.576,20,1,0,19.99994,1,0,48.9526468658607,0.000391661714260836,-2.51482898807526,0.000394130377062781,-0.573783392904213,0.000196746165147344,48.8846443634023,0.000523307259676605,21.704553604126,30,1,0,
83,2024-10-04,03:00:12.579,19,1,0,18.9999,1,0,48.9480178326427,0.000226476972757906,-2.50945228862646,0.000233637758541194,-0.573409338473586,0.000341116803946263,48.8802904815674,0.000447226997467101,21.7148494720459,31,1,0,
84,2024-10-04,03:00:16.282,18,1,0,17.9999,1,0,48.9439006973608,0.00040239298040092,-2.50499454879761,0.000405307956653664,-0.571981913089752,0.000134183339091175,48.8764094543457,0.000250270126290464,21.7282238006592,32,1,0,
85,2024-10-04,03:00:20.173,17,1,0,16.99993,1,0,48.9390436113977,0.000323881481578385,-2.49843675136465,0.000324023466794151,-0.571139336585999,0.000192647487193307,48.8718913879395,0.00031660975287574,21.7168312072754,33,1,0,
86,2024-10-04,03:00:23.975,16,1,0,15.99993,1,0,48.9340987199547,0.000405192003534494,-2.49490473651886,0.000401195836664164,-0.570482012508116,0.000226402568806043,48.8671338806143,0.000300220178022087,21.718729019165,34,1,0,
87,2024-10-04,03:00:27.761,15,1,0,14.9999,1,0,48.929705668134,0.000174939766285833,-2.49267511177063,0.000178559434615609,-0.569222906589508,0.000539831159789057,48.8628452301002,0.000758266894398728,21.7133598327637,35,1,0,
88,2024-10-04,03:00:31.689,14,1,0,13.9999,1,0,48.9244315404524,0.000320809287257379,-2.48965510845184,0.000324294274234342,-0.567735592365265,0.000282799843878128,48.8577541046143,0.000400965214922097,21.7120094299316,36,1,0,
89,2024-10-04,03:00:35.475,13,1,0,12.99996,1,0,48.919432792229,0.000467285889697438,-2.49029473590851,0.000449062562321975,-0.566169578313828,0.000595875065027125,48.8527152252197,0.00043183123373426,21.7243061065674,37,1,0,
90,2024-10-04,03:00:39.429,12,1,0,11.99993,1,0,48.9143647388571,0.000224804894719644,-2.49368884086609,0.000235158141797026,-0.565252623319626,0.000179799827427305,48.847487991333,0.000389573664762541,21.7279434204102,38,1,0,
91,2024-10-04,03:00:43.434,11,1,0,10.99995,1,0,48.9092009420719,0.000357607694805643,-2.49727261257172,0.000364847139648136,-0.5634645810126,0.000330254876157013,48.8421468200684,0.000222341870466857,21.7148895263672,39,1,0,
92,2024-10-04,03:00:47.420,10,1,0,9.99992,1,0,48.9042058769412,0.000189542286090413,-2.50407091236114,0.00019045726476421,-0.561548725128174,0.000372574550976606,48.8368264007568,0.000189824071506218,21.7131805419922,40,1,0,
93,2024-10-04,03:00:51.358,9,1,0,8.99992,1,0,48.8987621225691,0.00038727735385072,-2.50887438964844,0.000388036293021478,-0.559617717027664,0.000294112822095024,48.831154510498,0.000514039462023232,21.714282989502,41,1,0,
94,2024-10-04,03:00:55.225,8,1,0,7.99992,1,0,48.8934389943609,0.000281607313979299,-2.515868268013,0.000331193740033142,-0.558663727757577,0.00020106098093474,48.8255677642822,0.000360895333569016,21.7175178527832,42,1,0,
95,2024-10-04,03:00:59.232,7,1,0,6.99992,1,0,48.8884152426276,0.000445487655630357,-2.52134228610992,0.000448163404801907,-0.557686654806137,0.000156286513283087,48.8201798095703,0.000261394312073023,21.7213287353516,43,1,0,
96,2024-10-04,03:01:03.075,6,1,0,5.99992,1,0,48.8834154084911,0.000372139130305741,-2.52620704746161,0.000358081946546241,-0.556515632867205,0.000332518483622933,48.8149232635482,0.000649251876105528,21.7222518920898,44,1,0,
97,2024-10-04,03:01:06.866,5,1,0,4.99992,1,0,48.8781894409208,0.000291659591541755,-2.53025745677796,0.00030686063426244,-0.555359984636307,0.000435821446745559,48.80949168396,0.0001996222078857,21.7239093780518,45,1,0,
98,2024-10-04,03:01:10.703,4,1,0,3.99995,1,0,48.8732422991285,0.000209520792247218,-2.53293283748539,0.000192161025550289,-0.555120271205902,0.000226949086052654,48.8044210815421,0.000816024977337204,21.7261047363281,46,1,0,
99,2024-10-04,03:01:14.420,3,1,0,2.99992,1,0,48.8680911116004,0.000296284982086339,-2.5368900337217,0.000330427275512793,-0.553280293702588,0.000239365830412249,48.7991011199942,0.000458815950164659,21.7263431549072,47,1,0,
100,2024-10-04,03:01:18.449,2,1,0,1.99992,1,0,48.8627850419532,0.000240355177281256,-2.53500658130646,0.000233592322845781,-0.552298521280289,0.000151094728547836,48.7938732452393,0.000470212465128581,21.7345333099365,48,1,0,
101,2024-10-04,03:01:22.125,1,1,0,0.9999,1,0,48.8577410831511,0.000279669846894834,-2.53872741603735,0.000293507506134843,-0.550177459953933,0.000350155135062234,48.7886315460205,0.000358470789835831,21.7300071716309,49,1,0,
102,2024-10-04,03:01:26.107,0,1,0,-9E-05,1,0,48.8528397183095,0.0001317941398702,-2.53634376907349,0.000125889574715828,-0.549020933624751,0.000289297160950563,48.7838630523667,0.000401349217583522,21.7388191223145,50,1,0,
103,2024-10-04,03:01:29.474,0,2,0,0,2,0,48.8492245472758,0.000428568560018818,-2.53484536838531,0.000258012170913959,-0.547823983192444,0.000252640836336151,48.7801457061755,0.000498811335163173,21.7399349212646,0,2,0,
104,2024-10-04,03:01:33.057,1,2,0,1.00003,2,0,48.8539127169832,0.000391494674212564,-2.53780768012887,0.000463960596118387,-0.54948729634285,0.00044806749484696,48.7846833648666,0.000447725707149749,21.7449207305908,1,2,0,
105,2024-10-04,03:01:36.708,2,2,0,2.00006,2,0,48.859218964066,0.000466195187788747,-2.53302593803406,0.000468319559419395,-0.551120880841054,0.00023960562503244,48.790401763915,0.000249643768955248,21.747220993042,2,2,0,
106,2024-10-04,03:01:40.165,3,2,0,3.00006,2,0,48.8645819554777,0.000397991653844779,-2.53507608699799,0.000399500521074691,-0.552458608150482,5.64130357008766E-05,48.7956634063721,0.000424528606713855,21.7429618835449,3,2,0,
107,2024-10-04,03:01:43.664,4,2,0,4.00006,2,0,48.8697605624358,0.000443538149763526,-2.53164897155578,0.000443193164545289,-0.554678297279462,0.000168211882714693,48.8010016784668,0.000275293110958685,21.744607925415,4,2,0,
108,2024-10-04,03:01:47.010,5,2,0,5.00003,2,0,48.8749838371411,0.00018413628277455,-2.52881023025489,0.000167334489939405,-0.554469671726227,0.00026794724668174,48.8063693389893,0.00022072070159072,21.7450828552246,5,2,0,
109,2024-10-04,03:01:50.372,6,2,0,6.00004,2,0,48.880000333455,0.000168557777716123,-2.5235593290329,0.000160312206033721,-0.55599502325058,0.000345480392502734,48.8116387176503,0.000340570280110655,21.7496166229248,6,2,0,
110,2024-10-04,03:01:54.081,7,2,0,7.00004,2,0,48.8851829060359,0.000241902640447757,-2.51929792881012,0.0002339998765275,-0.556105543136583,0.000351541930066505,48.8170557556136,0.000170941768493385,21.7475757598877,7,2,0,
111,2024-10-04,03:01:57.357,8,2,0,8.00004,2,0,48.8906673116778,0.0004160746238057,-2.51325091743469,0.000414784156006902,-0.55827396798119,0.000209069501257079,48.8228358764649,0.000295505757356462,21.7546539306641,8,2,0,
112,2024-10-04,03:02:00.925,9,2,0,9.00004,2,0,48.8960601067091,0.000488921645327343,-2.50755442905316,0.000494771770288687,-0.559366230962685,0.000374676340818408,48.8285159912109,0.0003540175680903,21.7620182037354,9,2,0,
113,2024-10-04,03:02:04.619,10,2,0,10.00007,2,0,48.9010211001787,0.000353453844818221,-2.5004798526745,0.00034828369474884,-0.561051129341125,0.000205418666057651,48.8338259735107,0.000311549962309646,21.7666969299316,10,2,0,
